,"graphite,cr","CO,g","CO2,g","CH4,g","H2,g","H2O,g","O2,g","ethane,g","propane,g"
140,0,0.616495576,5.863732116,NaN,NaN,NaN,-26,NaN,NaN
141,0,0.284658111,4.683162435,NaN,NaN,NaN,-26,NaN,NaN
142,0,-0.023644569,3.586978954,NaN,NaN,NaN,-26,NaN,NaN
143,0,-0.310858781,2.566433522,1.057961942,0.15306587,2.072483361,-26,-3.138559717,-6.760244602
144,0,-0.579102638,1.613947195,2.426276309,0.941734678,2.262286414,-26,-1.019433438,-3.913374905
145,0,-0.83021934,0.722921186,2.605816481,1.129805843,1.888766235,-26,-0.687473155,-3.450520366
146,0,-1.0658204,-0.112416636,2.65433706,1.246700574,1.477822119,-26,-0.555665399,-3.255568899
147,0,-1.287320961,-0.897137287,2.668083932,1.341021908,1.074964245,-26,-0.479309357,-3.135504584
148,0,-1.495968843,-1.635713993,2.670317943,1.424825773,0.689521391,-26,-0.42322381,-3.043348303
149,0,-1.692868579,-2.332107771,2.668087841,1.502015112,0.322982618,-26,-0.376581486,-2.964601937
150,0,-1.879001424,-2.989838713,2.663768743,1.574115511,-0.025270787,-26,-0.335596186,-2.894163206
151,0,-2.055242097,-3.612045688,2.658210243,1.641854617,-0.356422459,-26,-0.298796311,-2.830022591
152,0,-2.222372874,-4.201536594,2.651724194,1.705660566,-0.671753308,-26,-0.265539571,-2.771282019
153,0,-2.381095491,-4.760830874,2.644422471,1.7658347,-0.972494832,-26,-0.235503295,-2.717474498
154,0,2.784114705,12.02213328,NaN,NaN,NaN,-24,NaN,NaN
155,0,2.362614922,10.52033484,NaN,NaN,NaN,-24,NaN,NaN
156,0,1.974708525,9.138839901,NaN,NaN,NaN,-24,NaN,NaN
157,0,1.616495576,7.863732116,NaN,NaN,NaN,-24,NaN,NaN
158,0,1.284658111,6.683162435,NaN,NaN,NaN,-24,NaN,NaN
159,0,0.976355431,5.586978954,NaN,NaN,NaN,-24,NaN,NaN
160,0,0.689141219,4.566433522,NaN,NaN,NaN,-24,NaN,NaN
161,0,0.420897362,3.613947195,NaN,NaN,NaN,-24,NaN,NaN
162,0,0.16978066,2.722921186,NaN,NaN,NaN,-24,NaN,NaN
163,0,-0.0658204,1.887583364,2.315102271,1.077083179,2.308204724,-24,-1.064517582,-3.934038477
164,0,-0.287320961,1.102862713,2.559188854,1.286574368,2.020516705,-24,-0.642651975,-3.353294741
165,0,-0.495968843,0.364286007,2.628462756,1.403898179,1.668593798,-24,-0.486006591,-3.127058676
166,0,-0.692868579,-0.332107771,2.650489802,1.493216092,1.314183598,-24,-0.402978545,-2.999798016
167,0,-0.879001424,-0.989838713,2.655902675,1.570182477,0.970796179,-24,-0.347395288,-2.909895341
168,0,-1.055242097,-1.612045688,2.654518076,1.640008534,0.641731458,-24,-0.304334561,-2.837406924
169,0,-1.222372874,-2.201536594,2.649916123,1.704756531,0.327342657,-24,-0.268251678,-2.774898161
170,0,-1.381095491,-2.760830874,2.643502397,1.765374663,0.027045131,-24,-0.236883407,-2.719314647
171,0,3.784114705,14.02213328,NaN,NaN,NaN,-22,NaN,NaN
172,0,3.362614922,12.52033484,NaN,NaN,NaN,-22,NaN,NaN
173,0,2.974708525,11.1388399,NaN,NaN,NaN,-22,NaN,NaN
174,0,2.616495576,9.863732116,NaN,NaN,NaN,-22,NaN,NaN
175,0,2.284658111,8.683162435,NaN,NaN,NaN,-22,NaN,NaN
176,0,1.976355431,7.586978954,NaN,NaN,NaN,-22,NaN,NaN
177,0,1.689141219,6.566433522,NaN,NaN,NaN,-22,NaN,NaN
178,0,1.420897362,5.613947195,NaN,NaN,NaN,-22,NaN,NaN
179,0,1.16978066,4.722921186,NaN,NaN,NaN,-22,NaN,NaN
180,0,0.9341796,3.887583364,NaN,NaN,NaN,-22,NaN,NaN
181,0,0.712679039,3.102862713,NaN,NaN,NaN,-22,NaN,NaN
182,0,0.504031157,2.364286007,1.834640595,1.006987098,2.271682717,-22,-1.676739833,-4.714703
183,0,0.307131421,1.667892229,2.427591209,1.381766796,2.202734302,-22,-0.737326435,-3.445595202
184,0,0.120998576,1.010161287,2.568197283,1.52632978,1.926943483,-22,-0.478953377,-3.085306126
185,0,-0.055242097,0.387954312,2.615531923,1.620515457,1.622238381,-22,-0.362813792,-2.915379231
186,0,-0.222372874,-0.201536594,2.631310922,1.69545393,1.318040056,-22,-0.29615948,-2.812108563
187,0,-0.381095491,-0.760830874,2.634156748,1.760701839,1.022372307,-22,-0.250901879,-2.738005943
188,0,4.784114705,16.02213328,NaN,NaN,NaN,-20,NaN,NaN
189,0,4.362614922,14.52033484,NaN,NaN,NaN,-20,NaN,NaN
190,0,3.974708525,13.1388399,NaN,NaN,NaN,-20,NaN,NaN
191,0,3.616495576,11.86373212,NaN,NaN,NaN,-20,NaN,NaN
192,0,3.284658111,10.68316243,NaN,NaN,NaN,-20,NaN,NaN
193,0,2.976355431,9.586978954,NaN,NaN,NaN,-20,NaN,NaN
194,0,2.689141219,8.566433522,NaN,NaN,NaN,-20,NaN,NaN
195,0,2.420897362,7.613947195,NaN,NaN,NaN,-20,NaN,NaN
196,0,2.16978066,6.722921186,NaN,NaN,NaN,-20,NaN,NaN
197,0,1.9341796,5.887583364,NaN,NaN,NaN,-20,NaN,NaN
198,0,1.712679039,5.102862713,NaN,NaN,NaN,-20,NaN,NaN
199,0,1.504031157,4.364286007,NaN,NaN,NaN,-20,NaN,NaN
200,0,1.307131421,3.667892229,NaN,NaN,NaN,-20,NaN,NaN
201,0,1.120998576,3.010161287,NaN,NaN,NaN,-20,NaN,NaN
202,0,0.944757903,2.387954312,1.810048725,1.217773858,2.219496783,-20,-1.571038588,-4.526345626
203,0,0.777627126,1.798463406,2.377630513,1.568613726,2.191199852,-20,-0.676680093,-3.319469381
204,0,0.618904509,1.239169126,2.524426948,1.705836939,1.967507407,-20,-0.415496579,-2.957465543
205,0,5.784114705,18.02213328,NaN,NaN,NaN,-18,NaN,NaN
206,0,5.362614922,16.52033484,NaN,NaN,NaN,-18,NaN,NaN
207,0,4.974708525,15.1388399,NaN,NaN,NaN,-18,NaN,NaN
208,0,4.616495576,13.86373212,NaN,NaN,NaN,-18,NaN,NaN
209,0,4.284658111,12.68316243,NaN,NaN,NaN,-18,NaN,NaN
210,0,3.976355431,11.58697895,NaN,NaN,NaN,-18,NaN,NaN
211,0,3.689141219,10.56643352,NaN,NaN,NaN,-18,NaN,NaN
212,0,3.420897362,9.613947195,NaN,NaN,NaN,-18,NaN,NaN
213,0,3.16978066,8.722921186,NaN,NaN,NaN,-18,NaN,NaN
214,0,2.9341796,7.887583364,NaN,NaN,NaN,-18,NaN,NaN
215,0,2.712679039,7.102862713,NaN,NaN,NaN,-18,NaN,NaN
216,0,2.504031157,6.364286007,NaN,NaN,NaN,-18,NaN,NaN
217,0,2.307131421,5.667892229,NaN,NaN,NaN,-18,NaN,NaN
218,0,2.120998576,5.010161287,NaN,NaN,NaN,-18,NaN,NaN
219,0,1.944757903,4.387954312,NaN,NaN,NaN,-18,NaN,NaN
220,0,1.777627126,3.798463406,NaN,NaN,NaN,-18,NaN,NaN
221,0,1.618904509,3.239169126,NaN,NaN,NaN,-18,NaN,NaN
222,0,6.784114705,20.02213328,NaN,NaN,NaN,-16,NaN,NaN
223,0,6.362614922,18.52033484,NaN,NaN,NaN,-16,NaN,NaN
224,0,5.974708525,17.1388399,NaN,NaN,NaN,-16,NaN,NaN
225,0,5.616495576,15.86373212,NaN,NaN,NaN,-16,NaN,NaN
226,0,5.284658111,14.68316243,NaN,NaN,NaN,-16,NaN,NaN
227,0,4.976355431,13.58697895,NaN,NaN,NaN,-16,NaN,NaN
228,0,4.689141219,12.56643352,NaN,NaN,NaN,-16,NaN,NaN
229,0,4.420897362,11.61394719,NaN,NaN,NaN,-16,NaN,NaN
230,0,4.16978066,10.72292119,NaN,NaN,NaN,-16,NaN,NaN
231,0,3.9341796,9.887583364,NaN,NaN,NaN,-16,NaN,NaN
232,0,3.712679039,9.102862713,NaN,NaN,NaN,-16,NaN,NaN
233,0,3.504031157,8.364286007,NaN,NaN,NaN,-16,NaN,NaN
234,0,3.307131421,7.667892229,NaN,NaN,NaN,-16,NaN,NaN
235,0,3.120998576,7.010161287,NaN,NaN,NaN,-16,NaN,NaN
236,0,2.944757903,6.387954312,NaN,NaN,NaN,-16,NaN,NaN
237,0,2.777627126,5.798463406,NaN,NaN,NaN,-16,NaN,NaN
238,0,2.618904509,5.239169126,NaN,NaN,NaN,-16,NaN,NaN
239,0,7.784114705,22.02213328,NaN,NaN,NaN,-14,NaN,NaN
