"","graphite,cr","CO,g","CO2,g","CH4,g","H2,g","H2O,g","O2,g","ethane,g","propane,g"
"98",0,-4.19286857942641,-7.3321077708075,2.66999481853694,1.50296860071109,-2.17606389335835,-31,-0.373721020080594,-2.96078798210143
"99",0,-4.37900142375924,-7.98983871325354,2.66463074312549,1.57454651057146,-2.52483978732482,-31,-0.334303185930036,-2.89243920552784
"100",0,-4.55524209734328,-8.61204568783631,2.65861697094813,1.6420579811587,-2.85621909447669,-31,-0.298186219251627,-2.82920913459309
"101",0,-4.72237287433382,-9.20153659443344,2.65192388070657,1.70576040939818,-3.17165346459108,-31,-0.265240041510141,-2.7708826458663
"102",0,-4.881095490581,-9.76083087429834,2.64452421800334,1.76588557356549,-3.4724439585512,-31,-0.235350674628259,-2.71727100405908
"103",0,0.284114705216659,7.02213328052631,NaN,NaN,NaN,-29,NaN,NaN
"104",0,-0.137385077501076,5.52033483563826,NaN,NaN,NaN,-29,NaN,NaN
"105",0,-0.525291474966735,4.13883990128203,NaN,NaN,NaN,-29,NaN,NaN
"106",0,-0.883504423689366,2.86373211571245,NaN,NaN,NaN,-29,NaN,NaN
"107",0,-1.21534188852973,1.68316243492878,2.37295480644832,0.580343221122582,2.32602737545783,-29,-1.31322547331194,-4.37303754947014
"108",0,-1.52364456923548,0.586978953559878,2.61637366875286,0.820930669132271,1.88051626522541,-29,-0.872041911274612,-3.76082515090533
"109",0,-1.81085878074527,-0.433566477792109,2.6688185134441,0.958494155571596,1.37791164709643,-29,-0.722274860052636,-3.53853145962002
"110",0,-2.07910263767712,-1.38605280545876,2.68144952066013,1.06932128348136,0.889873018746408,-29,-0.636673619323284,-3.40302847994075
"111",0,-2.33021933988329,-2.27707881400918,2.68332113335531,1.1685581684295,0.427518558822541,-29,-0.571216175350381,-3.29551106217071
"112",0,-2.56582040011279,-3.11241663623518,2.68169220564403,1.26037814715882,-0.00850030674798016,-29,-0.514632681270893,-3.20085860948405
"113",0,-2.78732096143887,-3.89713728678521,2.67859171208103,1.34627579929225,-0.419781862027883,-29,-0.46354768917266,-3.11448902790167
"114",0,-2.99596884347845,-4.63571399261011,2.67461416569232,1.42697388398664,-0.808330497552872,-29,-0.416779476807681,-3.0347558578964
"115",0,-3.19286857942641,-5.3321077708075,2.66994048736907,1.50294143512842,-1.17609105893984,-29,-0.373802516833537,-2.96089664443919
"116",0,-3.37900142375924,-5.98983871325354,2.66460615769614,1.57453421785603,-1.5248520800408,-29,-0.334340064072635,-2.89248837638455
"117",0,-3.55524209734328,-6.61204568783631,2.6586053646366,1.64205217800239,-1.85622489763412,-29,-0.298203628718692,-2.82923234721633
"118",0,-3.72237287433382,-7.20153659443344,2.65191818105652,1.70575755957401,-2.17165631441412,-29,-0.26524859098693,-2.77089404516804
"119",0,-3.881095490581,-7.76083087429834,2.64452131342327,1.76588412127548,-2.47244541084196,-29,-0.235355031497049,-2.71727681322208
"120",0,1.28411470521666,9.02213328052631,NaN,NaN,NaN,-27,NaN,NaN
"121",0,0.862614922498924,7.52033483563826,NaN,NaN,NaN,-27,NaN,NaN
"122",0,0.474708525033266,6.13883990128204,NaN,NaN,NaN,-27,NaN,NaN
"123",0,0.116495576310633,4.86373211571245,NaN,NaN,NaN,-27,NaN,NaN
"124",0,-0.215341888529732,3.68316243492878,NaN,NaN,NaN,-27,NaN,NaN
"125",0,-0.523644569235478,2.58697895355988,0.894393267327754,-0.0400595316052737,2.01952606446293,-27,-3.4550125134018,-7.20478595371244
"126",0,-0.810858780745273,1.56643352220789,2.436543788025,0.842356792862095,2.26177428438697,-27,-1.07068694818163,-4.00308091045867
"127",0,-1.07910263767712,0.613947194541243,2.61573736143959,1.03646520435484,1.85701694008135,-27,-0.735241859480296,-3.53445280068064
"128",0,-1.33021933988329,-0.277078814009176,2.66152856005684,1.15766188289585,1.4166222744453,-27,-0.603905036230082,-3.33909620859448
"129",0,-1.56582040011279,-1.11241663623518,2.67378766759723,1.25642587746935,0.987547422754031,-27,-0.526489487114934,-3.21666768383778
"130",0,-1.78732096143887,-1.89713728678521,2.67552335809494,1.34474162062139,0.578683957588716,-27,-0.468150218098574,-3.12062573201082
"131",0,-1.99596884347845,-2.63571399261011,2.67335552023084,1.42634456125596,0.191040179716542,-27,-0.418667444999796,-3.03727314881969
"132",0,-2.19286857942641,-3.3321077708075,2.66939680588726,1.50266959438726,-0.176362899681233,-27,-0.374618039056051,-2.96198400740255
"133",0,-2.37900142375924,-3.98983871325354,2.66436022152475,1.57441124977093,-0.524975048125495,-27,-0.334708968330556,-2.89298024872896
"134",0,-2.55524209734328,-4.61204568783631,2.65848928188981,1.64199413662906,-0.856282939007337,-27,-0.298377752838256,-2.82946451270796
"135",0,-2.72237287433382,-5.20153659443344,2.65186117970191,1.70572905889999,-1.1716848150859,-27,-0.265334093021948,-2.77100804788885
"136",0,-2.881095490581,-5.76083087429834,2.64449226686719,1.76586959800128,-1.47245993411228,-27,-0.235398601335781,-2.71733490634623
"137",0,2.28411470521666,11.0221332805263,NaN,NaN,NaN,-25,NaN,NaN
"138",0,1.86261492249892,9.52033483563826,NaN,NaN,NaN,-25,NaN,NaN
"139",0,1.47470852503327,8.13883990128203,NaN,NaN,NaN,-25,NaN,NaN
